"","sisu001","sisu002","sisu003","sisu004","sisu005","sisu006","sisu007","sisu008","sisu009","sisu010","sisu011","sisu012","sisu013","sisu014","sisu015","sisu016","sisu017","sisu018","sisu019","sisu020","sisu021","sisu022","sisu023","sisu024","sisu025","sisu026","sisu027","sisu028","sisu029","sisu030","sisu031","sisu032","sisu033","sisu034","sisu035","sisu036","sisu037","sisu038","sisu039","sisu040"
"sisu011",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu012",0,0,0,0.125,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu013",0,0,0,0.0625,0,0,0.5,0,0.25,0,0,0.5,0.5,0,0,0.25,0,0.03125,0.125,0.03125,0,0,0,0.25,0.25,0,0.15625,0,0,0,0,0.015625,0,0.125,0,0,0.25,0,0,0
"sisu014",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu015",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0.5,0,0,0
"sisu016",0,0,0,0.0625,0.5,0,0.5,0,0,0,0,0,0.25,0,0,0.5,0,0.03125,0.125,0.03125,0,0,0,0,0.25,0,0.15625,0,0,0,0,0.015625,0,0.5,0,0,0.25,0,0,0
"sisu017",0,0,0.5,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0.125
"sisu018",0,0,0,0.5,0,0,0.0625,0,0.5,0,0,0,0.03125,0,0,0.03125,0,0.5,0.25,0.25,0,0,0,0,0.125,0,0.3125,0,0,0,0,0.125,0.25,0.015625,0,0,0,0,0,0
"sisu019",0,0,0,0.5,0,0,0.25,0,0.5,0,0,0,0.125,0,0,0.125,0,0.25,0,0.25,0,0,0,0,0.5,0,0.5,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0
"sisu020",0,0,0,0.5,0,0,0.0625,0,0,0,0,0,0.03125,0,0,0.03125,0,0.25,0.25,0.5,0,0,0,0,0.5,0,0.3125,0,0,0,0,0.5,0,0.015625,0,0,0,0,0,0
"sisu021",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu022",0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"sisu023",0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"sisu024",0,0,0,0.5,0,0,0,0.5,0.25,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sisu025",0,0,0,0.25,0,0,0.5,0,0,0,0,0,0.25,0,0,0.25,0,0.125,0.5,0.5,0,0,0,0,0,0,0.625,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0
"sisu026",0.25,0,0.5,0.0625,0.03125,0.0625,0.25,0.03125,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0.25,0,0,0.5,0,0.5,0.5,0.5,0.125,0,0.25,0,0.25,0.125,0.25,0,0.0625,0.125
"sisu027",0,0,0,0.625,0,0.25,0.3125,0,0,0,0,0,0.15625,0,0,0.15625,0,0.3125,0.5,0.3125,0,0,0,0,0.625,0,0.5625,0,0,0,0,0.15625,0,0.078125,0,0,0,0,0,0.5
"sisu028",0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.125,0,0,0
"sisu029",0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5625,0,0,0,0,0,0,0,0.125,0,0,0
"sisu030",0,0,0,0,0.0625,0,0.5,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.25,0,0,0,0.5,0,0,0,0.125,0
"sisu031",0,0,0,0,0.25,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.25,0.5,0,0,0,0.5,0,0,0,0.5,0
"sisu032",0,0,0,0.25,0,0,0.03125,0,0,0,0,0,0.015625,0,0,0.015625,0,0.125,0.125,0.5,0,0,0,0,0.0625,0,0.15625,0,0,0,0,0.5,0,0.0078125,0,0,0,0,0,0
"sisu033",0,0,0.5,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
"sisu034",0,0,0,0.03125,0,0,0.25,0,0,0,0,0,0.125,0,0,0.5,0,0.015625,0.0625,0.015625,0,0,0,0,0.125,0,0.078125,0,0,0,0,0.0078125,0,0.5,0,0,0.125,0,0,0
"sisu035",0,0,0,0,0.125,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0.25,0
"sisu036",0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.5,0,0,0,0.125,0,0,0,0,0,0,0.5,0,0,0.75,0,0,0,0
"sisu037",0.25,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0.125,0,0,0,0,0.125,0,0,0.5,0,0,0
"sisu038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"sisu039",0,0,0,0,0.5,0,0.0625,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.125,0.5,0,0,0,0.25,0,0,0,0.5,0
"sisu040",0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.5,0,0,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
