"","egsu001","egsu002","egsu003","egsu004","egsu005","egsu006","egsu007","egsu008","egsu009","egsu010","egsu011","egsu012","egsu013","egsu014","egsu015","egsu016","egsu017","egsu018","egsu019","egsu020","egsu021","egsu022","egsu023","egsu024","egsu025","egsu026","egsu027","egsu028","egsu029","egsu030","egsu031","egsu032","egsu033","egsu034","egsu035","egsu036","egsu037","egsu038","egsu039","egsu040","egsu041","egsu042","egsu043","egsu044","egsu045","egsu046","egsu047","egsu048","egsu049","egsu050","egsu051","egsu052","egsu053","egsu054","egsu055","egsu056","egsu057","egsu058","egsu059","egsu060"
"egsu011",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0
"egsu012",0,0,0,0.00669642857142857,0,0,0,0.03125,0,0.00625,0,0.333333333333333,0,0.00390625,0.05,0.0892857142857143,0,0,0.0416666666666667,0,0,0,0.0078125,0.0625,0,0,0,0,0,0,0,0.0221354166666667,0,0,0,0,0,0,0.0078125,0,0,0,0.09375,0,0.0125,0,0,0.0029296875,0,0.075,0.0357142857142857,0.00279017857142857,0,0.0178571428571429,0,0,0,0,0,0
"egsu013",0.03125,0,0.0133928571428571,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.00401785714285714,0,0,0,0.01875,0.0046875,0,0.0078125,0,0,0,0,0.0046875,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu014",0,0,0,0,0,0,0,0.03125,0,0.025,0,0.00390625,0,0.45,0.003125,0,0,0,0.0104166666666667,0,0,0,0.03125,0,0,0.0375,0,0,0,0,0,0.00651041666666667,0,0,0,0,0,0,0.125,0.0833333333333333,0,0,0.005859375,0,0,0,0,0.046875,0,0.001171875,0.00223214285714286,0,0,0,0,0,0,0,0,0
"egsu015",0,0,0,0.00535714285714286,0,0,0,0.025,0,0.005,0,0.05,0,0.003125,0.25,0,0,0,0.0333333333333333,0,0,0,0.00625,0,0,0,0,0,0,0,0,0.0177083333333333,0,0,0,0,0,0,0.00625,0,0,0,0.075,0,0.01,0,0,0.00234375,0,0.015,0.0285714285714286,0.00223214285714286,0,0,0,0,0,0,0,0
"egsu016",0,0,0,0,0,0,0,0,0,0,0,0.0892857142857143,0,0,0,0.214285714285714,0.0714285714285714,0,0,0,0,0,0,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255102040816327,0,0,0,0,0,0
"egsu017",0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.0714285714285714,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu018",0.0223214285714286,0.00753348214285714,0.00956632653061224,0,0,0,0.0129145408163265,0,0,0,0,0,0.00401785714285714,0,0,0,0,0.0479910714285714,0.0178571428571429,0,0.0368303571428571,0.0686383928571429,0.0535714285714286,0,0.0223214285714286,0,0,0,0,0.0535714285714286,0.0107142857142857,0,0,0,0,0,0.0301339285714286,0,0,0.00669642857142857,0,0,0,0.0544084821428571,0.0214285714285714,0,0.0535714285714286,0,0,0,0.0114795918367347,0.0107621173469388,0,0,0,0.0220982142857143,0,0,0.00401785714285714,0
"egsu019",0,0,0,0.0178571428571429,0,0,0,0.0833333333333333,0,0.0166666666666667,0,0.0416666666666667,0,0.0104166666666667,0.0333333333333333,0,0,0.0178571428571429,0,0,0,0,0.0416666666666667,0,0.00694444444444444,0,0,0,0,0.0208333333333333,0,0.0173611111111111,0,0,0,0,0,0,0.0208333333333333,0,0,0,0.0625,0,0.0666666666666667,0,0.0833333333333333,0.0078125,0,0.0125,0.0238095238095238,0.00744047619047619,0,0,0,0,0,0,0,0
"egsu020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu021",0,0.0078125,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0.0368303571428572,0,0,0.166666666666667,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666666667,0,0,0.0138888888888889,0,0,0,0.04296875,0,0,0,0,0,0,0.0238095238095238,0.00372023809523809,0,0,0,0.01875,0,0,0.00416666666666667,0
"egsu022",0.104166666666667,0.0234375,0.0446428571428571,0,0,0,0.00669642857142857,0,0,0,0,0,0.01875,0,0,0,0,0.0686383928571428,0,0,0.00520833333333333,0.416666666666667,0.015625,0,0.0260416666666667,0,0,0,0,0.015625,0.05,0,0,0,0,0,0.125,0,0,0.0104166666666667,0,0,0,0.064453125,0.025,0,0.0625,0,0,0,0.0178571428571429,0.0446428571428571,0,0,0,0.075,0,0,0.0125,0
"egsu023",0.0260416666666667,0,0.0111607142857143,0,0,0,0,0.0625,0,0.05,0,0.0078125,0.0046875,0.03125,0.00625,0,0,0.0535714285714286,0.0416666666666667,0,0,0.015625,0.333333333333333,0,0.0885416666666667,0,0,0,0,0.0625,0.0125,0.0442708333333333,0,0,0,0,0,0,0.0625,0,0,0,0.01171875,0,0.025,0,0.0625,0.0234375,0,0.00234375,0.00446428571428571,0,0,0,0,0,0,0,0,0
"egsu024",0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.0892857142857143,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0
"egsu025",0.0434027777777778,0,0.0632440476190476,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0.0223214285714286,0.00694444444444444,0,0,0.0260416666666667,0.0885416666666667,0,0.00520833333333333,0,0,0,0,0.0260416666666667,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0166666666666667,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
"egsu026",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu027",0,0,0,0,0.05625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu028",0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.0333333333333333,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0
"egsu029",0,0,0,0,0,0,0,0.133928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu030",0.0260416666666667,0,0.0111607142857143,0,0,0,0,0,0,0,0,0,0.0046875,0,0,0,0,0.0535714285714286,0.0208333333333333,0,0,0.015625,0.0625,0,0.0260416666666667,0,0,0,0,0.333333333333333,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu031",0.0833333333333333,0,0.0357142857142857,0.0857142857142857,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.0107142857142857,0,0,0,0.05,0.0125,0,0.0208333333333333,0,0,0.0333333333333333,0,0.0125,0.25,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0
"egsu032",0,0,0,0.00223214285714286,0,0,0,0.0208333333333333,0,0.0104166666666667,0,0.0221354166666667,0,0.00651041666666667,0.0177083333333333,0,0,0,0.0173611111111111,0.0333333333333333,0,0,0.0442708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130208333333333,0,0,0,0.033203125,0,0.00416666666666667,0,0,0.0048828125,0,0.006640625,0.0126488095238095,0.000930059523809524,0,0,0,0,0,0,0,0
"egsu033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
"egsu034",0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.05,0.25,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535714285714286,0,0
"egsu035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu036",0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.025,0.333333333333333,0,0,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267857142857143,0,0
"egsu037",0,0.046875,0,0,0,0,0.0133928571428571,0,0,0,0,0,0,0,0,0,0,0.0301339285714286,0,0,0.0104166666666667,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.0208333333333333,0,0,0,0.03515625,0,0,0,0,0,0,0.0357142857142857,0.0892857142857143,0,0,0,0.15,0,0,0.025,0
"egsu038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345238095238095,0,0,0,0,0,0,0,0,0.133928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu039",0,0,0,0.0535714285714286,0,0,0,0.0625,0,0.05,0,0.0078125,0,0.125,0.00625,0,0,0,0.0208333333333333,0,0,0,0.0625,0,0,0,0,0.0208333333333333,0,0,0.025,0.0130208333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.01171875,0,0,0,0,0.09375,0,0.00234375,0.00446428571428571,0,0,0,0,0,0.0833333333333333,0,0,0
"egsu040",0,0.015625,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.00669642857142857,0,0,0.0138888888888889,0.0104166666666667,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0.166666666666667,0,0,0,0.0078125,0,0,0,0,0,0,0.0476190476190476,0.00744047619047619,0,0,0,0.0375,0,0,0.00833333333333333,0
"egsu041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu042",0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666666666667,0,0,0,0.0833333333333333,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0
"egsu043",0,0,0,0.0100446428571429,0,0,0,0.046875,0,0.009375,0,0.09375,0,0.005859375,0.075,0,0,0,0.0625,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0.033203125,0,0.09375,0,0.046875,0,0,0.01171875,0,0,0,0.166666666666667,0,0.01875,0,0,0.00439453125,0,0.028125,0.0535714285714286,0.00418526785714286,0,0,0,0,0,0.0803571428571429,0,0
"egsu044",0,0.0087890625,0,0,0,0,0.0150669642857143,0,0,0,0,0,0,0,0,0,0,0.0544084821428572,0,0,0.04296875,0.064453125,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0.03515625,0,0,0.0078125,0,0,0,0.416666666666667,0,0,0,0,0,0,0.0133928571428571,0.0125558035714286,0,0,0,0.02578125,0,0,0.0046875,0.125
"egsu045",0.0416666666666667,0,0.0178571428571429,0.0857142857142857,0,0,0,0.1,0,0,0,0.0125,0.0075,0,0.01,0,0,0.0214285714285714,0.0666666666666667,0,0,0.025,0.025,0,0.0166666666666667,0,0,0,0,0.025,0.02,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0.01875,0,0.25,0,0.1,0,0,0.00375,0.00714285714285714,0.0357142857142857,0,0,0,0,0,0,0,0
"egsu046",0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu047",0.104166666666667,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0.01875,0,0,0,0,0.0535714285714286,0.0833333333333333,0,0,0.0625,0.0625,0,0.0416666666666667,0,0,0,0,0.0625,0.05,0,0,0,0,0,0,0.133928571428571,0,0,0,0,0,0,0.1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu048",0,0,0,0,0.05625,0,0,0.0234375,0,0.01875,0,0.0029296875,0,0.046875,0.00234375,0,0,0,0.0078125,0,0,0,0.0234375,0,0,0,0,0,0,0,0,0.0048828125,0,0,0,0,0,0,0.09375,0,0,0,0.00439453125,0,0,0,0,0.166666666666667,0,0.00087890625,0.00167410714285714,0,0.0625,0,0.046875,0,0,0,0,0
"egsu049",0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0625
"egsu050",0,0,0,0.00200892857142857,0,0,0,0.009375,0,0.001875,0,0.075,0,0.001171875,0.015,0,0,0,0.0125,0,0,0,0.00234375,0,0,0,0,0,0,0,0,0.006640625,0,0,0,0,0,0,0.00234375,0,0,0,0.028125,0,0.00375,0,0,0.00087890625,0,0.1,0.0107142857142857,0.000837053571428571,0,0,0,0,0,0,0,0
"egsu051",0,0.0267857142857143,0,0.0038265306122449,0,0,0.0306122448979592,0.0178571428571429,0,0.00357142857142857,0,0.0357142857142857,0,0.00223214285714286,0.0285714285714286,0,0,0.0114795918367347,0.0238095238095238,0,0.0238095238095238,0.0178571428571429,0.00446428571428571,0,0,0,0,0,0,0,0,0.0126488095238095,0,0,0,0,0.0357142857142857,0,0.00446428571428571,0.0476190476190476,0,0,0.0535714285714286,0.0133928571428571,0.00714285714285714,0,0,0.00167410714285714,0,0.0107142857142857,0.119047619047619,0.0143494897959184,0,0,0,0.0642857142857143,0,0,0.0142857142857143,0
"egsu052",0,0.0167410714285714,0,0.076530612244898,0,0,0.00478316326530613,0.0223214285714286,0,0,0,0.00279017857142857,0,0,0.00223214285714286,0,0,0.0107621173469388,0.00744047619047619,0,0.00372023809523809,0.0446428571428571,0,0,0,0,0,0,0,0,0,0.000930059523809524,0,0,0,0,0.0892857142857143,0,0,0.00744047619047619,0,0,0.00418526785714286,0.0125558035714286,0.0357142857142857,0,0,0,0,0.000837053571428571,0.0143494897959184,0.214285714285714,0,0,0,0.107142857142857,0,0,0.00892857142857143,0
"egsu053",0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0.0625,0,0,0,0,0.166666666666667,0,0.0208333333333333,0,0,0,0,0
"egsu054",0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0.0255102040816327,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0
"egsu055",0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0,0,0,0,0.0208333333333333,0,0.45,0,0,0,0,0
"egsu056",0,0.084375,0,0,0,0,0.0241071428571428,0,0,0,0,0,0,0,0,0,0,0.0220982142857143,0,0,0.01875,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.0375,0,0,0,0.02578125,0,0,0,0,0,0,0.0642857142857143,0.107142857142857,0,0,0,0.29375,0,0,0.045,0
"egsu057",0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0.0333333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535714285714286,0,0.0267857142857143,0,0,0,0,0,0,0.0803571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"egsu059",0,0.075,0,0,0,0.04,0.00535714285714286,0,0,0,0,0,0,0,0,0,0,0.00401785714285714,0,0,0.00416666666666667,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0.00833333333333333,0,0,0,0.0046875,0,0,0,0,0,0,0.0142857142857143,0.00892857142857143,0,0,0,0.045,0,0,0.25,0
"egsu060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.45
