"","exsu001","exsu002","exsu003","exsu004","exsu005","exsu006","exsu007","exsu008","exsu009","exsu010","exsu011","exsu012","exsu013","exsu014","exsu015","exsu016","exsu017","exsu018","exsu019","exsu020","exsu021","exsu022","exsu023","exsu024","exsu025","exsu026","exsu027","exsu028","exsu029","exsu030","exsu031","exsu032","exsu033","exsu034","exsu035","exsu036","exsu037","exsu038","exsu039","exsu040","exsu041","exsu042","exsu043","exsu044","exsu045","exsu046","exsu047","exsu048","exsu049","exsu050","exsu051","exsu052","exsu053","exsu054","exsu055","exsu056","exsu057","exsu058","exsu059","exsu060","exsu061","exsu062","exsu063","exsu064","exsu065","exsu066","exsu067","exsu068","exsu069","exsu070"
"exsu011",0,0,0,0,0,0,0.0595238095238095,0,0,0,0.166666666666667,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0.0277777777777778,0,0,0,0
"exsu012",0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu013",0,0,0,0.0148809523809524,0,0,0,0,0,0.0669642857142857,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956632653061224,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892857142857143,0,0,0,0,0,0,0
"exsu014",0,0,0,0,0.0223214285714286,0,0.0637755102040816,0,0,0.00837053571428572,0.0297619047619048,0,0,0.214285714285714,0,0,0.0223214285714286,0,0,0.0178571428571429,0,0,0,0,0.0297619047619048,0,0,0.0223214285714286,0,0,0,0,0,0,0,0.0297619047619048,0,0,0,0,0.0535714285714286,0,0,0,0,0,0.0148809523809524,0.0595238095238095,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.0669642857142857,0,0,0
"exsu015",0,0,0.05625,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0.0267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu017",0,0,0,0,0.0625,0,0,0,0,0.0234375,0,0,0,0.0223214285714286,0,0.0625,0.416666666666667,0,0,0.05,0,0,0,0,0.0833333333333333,0,0,0.0625,0,0,0,0,0,0.046875,0,0.00520833333333333,0,0,0,0,0.0375,0,0,0,0,0,0.00260416666666667,0.0104166666666667,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0
"exsu018",0.0297619047619048,0.0555555555555555,0,0.00694444444444444,0,0.00520833333333333,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694444444444444,0,0,0.0173611111111111,0.0297619047619048,0,0,0.00260416666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0.0133928571428571,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0.00390625,0
"exsu019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu020",0,0,0,0,0.05,0,0,0,0,0.0375,0,0,0,0.0178571428571429,0,0,0.05,0,0,0.25,0,0,0,0,0.0666666666666667,0,0,0.1,0,0,0.0857142857142857,0,0,0,0,0.00416666666666667,0,0,0,0,0.03,0,0,0,0,0,0.00208333333333333,0.00833333333333333,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.08,0,0.009375,0,0,0
"exsu021",0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu022",0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038265306122449,0,0,0,0,0,0,0,0,0
"exsu023",0.0186011904761905,0,0,0.00434027777777778,0,0.00325520833333333,0,0,0.03125,0,0,0,0,0,0,0,0,0.0694444444444444,0,0,0,0,0.3,0,0,0.0108506944444444,0,0,0,0.00162760416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.00837053571428571,0,0,0,0,0,0,0,0,0,0,0.00868055555555556,0.00244140625,0
"exsu024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu025",0,0,0,0,0.0833333333333333,0,0,0,0,0.03125,0,0,0,0.0297619047619048,0,0,0.0833333333333333,0,0,0.0666666666666667,0,0,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.00694444444444444,0,0,0,0,0.05,0,0,0,0,0,0.00347222222222222,0.0138888888888889,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0.015625,0,0.0625,0
"exsu026",0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.0173611111111111,0,0,0,0,0.0108506944444444,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu027",0,0.0595238095238095,0,0,0,0,0.0637755102040816,0,0,0,0,0,0,0,0,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037202380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu028",0,0,0,0,0.0625,0,0,0,0,0.09375,0,0,0,0.0223214285714286,0,0,0.0625,0,0,0.1,0,0,0,0,0.0833333333333333,0,0,0.333333333333333,0,0,0.107142857142857,0,0,0,0,0.00520833333333333,0,0,0,0,0.0375,0,0,0,0,0,0.00260416666666667,0.0104166666666667,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.025,0,0.01171875,0,0,0
"exsu029",0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu030",0.0111607142857143,0,0,0.0104166666666667,0,0.03125,0,0,0.0046875,0,0,0,0,0,0,0,0,0.00260416666666667,0,0,0,0,0.00162760416666667,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602678571428571,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0234375,0
"exsu031",0,0,0,0.0714285714285714,0,0,0,0,0,0.0401785714285714,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0,0,0,0,0,0,0.107142857142857,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459183673469388,0,0,0,0,0,0,0,0,0,0.0428571428571428,0.0459183673469388,0,0,0,0,0.0612244897959184,0,0,0.0428571428571429,0,0,0,0,0
"exsu032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104166666666667,0,0,0,0,0,0
"exsu033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0
"exsu034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0.166666666666667,0,0,0,0,0.046875,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.09375
"exsu035",0,0,0,0.0178571428571429,0,0,0,0,0,0.0200892857142857,0,0,0.00956632653061224,0,0,0.0267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669642857142857,0,0,0,0,0,0,0
"exsu036",0,0,0,0,0.00520833333333333,0,0,0,0,0.001953125,0,0,0,0.0297619047619048,0,0,0.00520833333333333,0,0,0.00416666666666667,0,0,0,0,0.00694444444444444,0,0,0.00520833333333333,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.0125,0,0,0,0,0,0.0555555555555555,0.0138888888888889,0,0,0,0,0,0.0555555555555556,0,0.00208333333333333,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0
"exsu037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu038",0,0,0,0.0555555555555555,0,0,0,0,0,0.0625,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0
"exsu039",0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0,0,0,0,0.046875,0,0,0,0,0.45,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0.0520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
"exsu040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0
"exsu041",0,0,0,0,0.0375,0,0,0,0,0.0140625,0,0,0,0.0535714285714286,0,0,0.0375,0,0,0.03,0,0,0,0,0.05,0,0,0.0375,0,0,0,0,0,0,0,0.0125,0,0,0,0,0.1,0,0,0,0,0,0.00625,0.025,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.028125,0,0,0
"exsu042",0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.0416666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
"exsu043",0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0
"exsu044",0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0.00868055555555556,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0
"exsu045",0.0744047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390625,0,0,0
"exsu046",0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459183673469388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0.0114795918367347,0,0,0.0321428571428571,0,0,0,0,0,0,0,0,0,0
"exsu047",0.0595238095238095,0,0,0,0.00260416666666667,0,0,0,0,0.0009765625,0,0,0,0.0148809523809524,0,0,0.00260416666666667,0,0,0.00208333333333333,0,0,0,0,0.00347222222222222,0,0,0.00260416666666667,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0.00625,0,0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0.0277777777777778,0,0.00104166666666667,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.0625,0,0,0
"exsu048",0,0,0,0,0.0104166666666667,0,0,0,0,0.00390625,0,0,0,0.0595238095238095,0,0,0.0104166666666667,0,0,0.00833333333333333,0,0,0,0,0.0138888888888889,0,0,0.0104166666666667,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0.025,0,0,0,0,0,0.00694444444444444,0.166666666666667,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0
"exsu049",0,0,0,0,0,0.0625,0,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu050",0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297619047619048,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.037202380952381,0,0,0,0,0,0
"exsu052",0,0,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0,0.0334821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu053",0,0.0694444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0.037202380952381,0,0,0,0,0,0,0,0,0,0,0,0.0520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"exsu055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exsu056",0,0,0.06,0,0.025,0,0,0,0,0.0375,0,0,0,0.00892857142857143,0,0,0.025,0,0,0.04,0,0,0,0,0.0333333333333333,0,0,0.1,0,0,0.0428571428571429,0,0,0,0,0.00208333333333333,0,0,0,0,0.015,0,0,0,0,0,0.00104166666666667,0.00416666666666667,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.01,0,0.0046875,0,0,0
"exsu057",0.0573979591836735,0,0,0.107142857142857,0,0.120535714285714,0,0,0.0241071428571429,0,0,0,0,0,0,0,0,0.0133928571428571,0,0,0.0857142857142857,0,0.00837053571428572,0,0,0,0,0,0,0.0602678571428572,0.0459183673469388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114795918367347,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,0.0153061224489796,0,0,0,0,0,0.107142857142857,0.0904017857142857,0
"exsu058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0.1,0,0,0,0,0
"exsu059",0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0
"exsu060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321428571428571,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"exsu061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0
"exsu062",0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612244897959184,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153061224489796,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0
"exsu063",0,0,0,0.0104166666666667,0,0,0,0,0,0.046875,0,0,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669642857142857,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0
"exsu064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0,0.037202380952381,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"exsu065",0.0357142857142857,0,0,0,0,0,0,0,0,0.009375,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.025,0,0,0.0428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0,0,0,0,0,0.25,0,0.01875,0,0,0
"exsu066",0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.03125,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"exsu067",0.0669642857142857,0,0,0,0.01171875,0,0,0,0,0.00439453125,0,0,0,0.0669642857142857,0,0,0.01171875,0,0,0.009375,0,0,0,0,0.015625,0,0,0.01171875,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.028125,0,0,0,0.0390625,0,0.0625,0.03125,0,0,0,0,0,0,0,0.0046875,0,0,0,0,0,0,0,0,0.01875,0,0.166666666666667,0,0,0
"exsu068",0.0595238095238095,0,0,0.0555555555555556,0,0.0416666666666667,0,0,0.025,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0.00868055555555556,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0.03125,0
"exsu069",0.0167410714285714,0,0,0.015625,0,0.046875,0,0,0.00703125,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0.00244140625,0,0.0625,0,0,0,0,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904017857142857,0,0,0,0,0,0,0,0,0,0,0.03125,0.166666666666667,0
"exsu070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0.125,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
