"","egsu001","egsu002","egsu003","egsu004","egsu005","egsu006","egsu007","egsu008","egsu009","egsu010","egsu011","egsu012","egsu013","egsu014","egsu015","egsu016","egsu017","egsu018","egsu019","egsu020","egsu021","egsu022","egsu023","egsu024","egsu025","egsu026","egsu027","egsu028","egsu029","egsu030","egsu031","egsu032","egsu033","egsu034","egsu035","egsu036","egsu037","egsu038","egsu039","egsu040","egsu041","egsu042","egsu043","egsu044","egsu045","egsu046","egsu047","egsu048","egsu049","egsu050","egsu051","egsu052","egsu053","egsu054","egsu055","egsu056","egsu057","egsu058","egsu059","egsu060"
"egsu011",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"egsu012",0,0,0,0.03125,0,0,0,0.125,0,0.0625,0,0.5,0,0.015625,0.25,0.5,0,0,0.25,0,0,0,0.03125,0.25,0,0,0,0,0,0,0,0.265625,0,0,0,0,0,0,0.03125,0,0,0,0.5,0,0.0625,0,0,0.015625,0,0.5,0.25,0.015625,0,0.125,0,0,0,0,0,0
"egsu013",0.25,0,0.125,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0625,0,0,0,0.125,0.03125,0,0.0625,0,0,0,0,0.03125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu014",0,0,0,0,0,0,0,0.125,0,0.25,0,0.015625,0,0.5,0.015625,0,0,0,0.0625,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0.078125,0,0,0,0,0,0,0.5,0.5,0,0,0.03125,0,0,0,0,0.25,0,0.0078125,0.015625,0,0,0,0,0,0,0,0,0
"egsu015",0,0,0,0.03125,0,0,0,0.125,0,0.0625,0,0.25,0,0.015625,0.5,0,0,0,0.25,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.265625,0,0,0,0,0,0,0.03125,0,0,0,0.5,0,0.0625,0,0,0.015625,0,0.125,0.25,0.015625,0,0,0,0,0,0,0,0
"egsu016",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
"egsu017",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu018",0.25,0.09375,0.125,0,0,0,0.28125,0,0,0,0,0,0.0625,0,0,0,0,0.5078125,0.25,0,0.515625,0.515625,0.5,0,0.25,0,0,0,0,0.5,0.125,0,0,0,0,0,0.28125,0,0,0.09375,0,0,0,0.5078125,0.25,0,0.5,0,0,0,0.1875,0.140625,0,0,0,0.1875,0,0,0.046875,0
"egsu019",0,0,0,0.125,0,0,0,0.5,0,0.25,0,0.25,0,0.0625,0.25,0,0,0.25,0,0,0,0,0.125,0,0.0625,0,0,0,0,0.125,0,0.3125,0,0,0,0,0,0,0.125,0,0,0,0.5,0,0.25,0,0.5,0.0625,0,0.125,0.25,0.0625,0,0,0,0,0,0,0,0
"egsu020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu021",0,0.0625,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.515625,0,0,0.5,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.125,0,0,0,0.2578125,0,0,0,0,0,0,0.25,0.03125,0,0,0,0.125,0,0,0.03125,0
"egsu022",0.5,0.125,0.25,0,0,0,0.0625,0,0,0,0,0,0.125,0,0,0,0,0.515625,0,0,0.03125,0.5,0.0625,0,0.125,0,0,0,0,0.0625,0.25,0,0,0,0,0,0.5,0,0,0.0625,0,0,0,0.2578125,0.125,0,0.25,0,0,0,0.125,0.25,0,0,0,0.25,0,0,0.0625,0
"egsu023",0.125,0,0.0625,0,0,0,0,0.25,0,0.5,0,0.03125,0.03125,0.125,0.03125,0,0,0.5,0.125,0,0,0.0625,0.5,0,0.5,0,0,0,0,0.25,0.0625,0.53125,0,0,0,0,0,0,0.25,0,0,0,0.0625,0,0.125,0,0.25,0.125,0,0.015625,0.03125,0,0,0,0,0,0,0,0,0
"egsu024",0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"egsu025",0.25,0,0.5,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.25,0.0625,0,0,0.125,0.5,0,0.015625,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0625,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"egsu026",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu027",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu028",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
"egsu029",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu030",0.125,0,0.0625,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.5,0.125,0,0,0.0625,0.25,0,0.125,0,0,0,0,0.5,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu031",0.5,0,0.25,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.125,0,0,0,0.25,0.0625,0,0.125,0,0,0.25,0,0.0625,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0
"egsu032",0,0,0,0.03125,0,0,0,0.25,0,0.3125,0,0.265625,0,0.078125,0.265625,0,0,0,0.3125,0.5,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0.53125,0,0.0625,0,0,0.078125,0,0.1328125,0.265625,0.015625,0,0,0,0,0,0,0,0
"egsu033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"egsu034",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
"egsu035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu036",0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
"egsu037",0,0.25,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.28125,0,0,0.0625,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.125,0,0,0,0.140625,0,0,0,0,0,0,0.25,0.5,0,0,0,0.5,0,0,0.125,0
"egsu038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu039",0,0,0,0.25,0,0,0,0.25,0,0.5,0,0.03125,0,0.5,0.03125,0,0,0,0.125,0,0,0,0.25,0,0,0,0,0.125,0,0,0.125,0.15625,0,0,0,0,0,0,0.5,0,0,0,0.0625,0,0,0,0,0.5,0,0.015625,0.03125,0,0,0,0,0,0.5,0,0,0
"egsu040",0,0.125,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0.09375,0,0,0.125,0.0625,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.5,0,0,0,0.046875,0,0,0,0,0,0,0.5,0.0625,0,0,0,0.25,0,0,0.0625,0
"egsu041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu042",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"egsu043",0,0,0,0.0625,0,0,0,0.25,0,0.125,0,0.5,0,0.03125,0.5,0,0,0,0.5,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.53125,0,0.5,0,0.25,0,0,0.0625,0,0,0,0.5,0,0.125,0,0,0.03125,0,0.25,0.5,0.03125,0,0,0,0,0,0.5,0,0
"egsu044",0,0.046875,0,0,0,0,0.140625,0,0,0,0,0,0,0,0,0,0,0.5078125,0,0,0.2578125,0.2578125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.140625,0,0,0.046875,0,0,0,0.5,0,0,0,0,0,0,0.09375,0.0703125,0,0,0,0.09375,0,0,0.0234375,0.5
"egsu045",0.25,0,0.125,0.5,0,0,0,0.5,0,0,0,0.0625,0.0625,0,0.0625,0,0,0.25,0.25,0,0,0.125,0.125,0,0.0625,0,0,0,0,0.125,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0.5,0,0,0.03125,0.0625,0.25,0,0,0,0,0,0,0,0
"egsu046",0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu047",0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.5,0.5,0,0,0.25,0.25,0,0.125,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu048",0,0,0,0,0.5,0,0,0.125,0,0.25,0,0.015625,0,0.25,0.015625,0,0,0,0.0625,0,0,0,0.125,0,0,0,0,0,0,0,0,0.078125,0,0,0,0,0,0,0.5,0,0,0,0.03125,0,0,0,0,0.5,0,0.0078125,0.015625,0,0.5,0,0.25,0,0,0,0,0
"egsu049",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"egsu050",0,0,0,0.015625,0,0,0,0.0625,0,0.03125,0,0.5,0,0.0078125,0.125,0,0,0,0.125,0,0,0,0.015625,0,0,0,0,0,0,0,0,0.1328125,0,0,0,0,0,0,0.015625,0,0,0,0.25,0,0.03125,0,0,0.0078125,0,0.5,0.125,0.0078125,0,0,0,0,0,0,0,0
"egsu051",0,0.25,0,0.03125,0,0,0.5,0.125,0,0.0625,0,0.25,0,0.015625,0.25,0,0,0.1875,0.25,0,0.25,0.125,0.03125,0,0,0,0,0,0,0,0,0.265625,0,0,0,0,0.25,0,0.03125,0.5,0,0,0.5,0.09375,0.0625,0,0,0.015625,0,0.125,0.5,0.125,0,0,0,0.5,0,0,0.125,0
"egsu052",0,0.125,0,0.5,0,0,0.0625,0.125,0,0,0,0.015625,0,0,0.015625,0,0,0.140625,0.0625,0,0.03125,0.25,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0.5,0,0,0.0625,0,0,0.03125,0.0703125,0.25,0,0,0,0,0.0078125,0.125,0.5,0,0,0,0.5,0,0,0.0625,0
"egsu053",0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.125,0,0,0,0,0
"egsu054",0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"egsu055",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0.5,0,0,0,0,0
"egsu056",0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0.09375,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5625,0,0,0.25,0
"egsu057",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egsu058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"egsu059",0,0.5,0,0,0,0.25,0.0625,0,0,0,0,0,0,0,0,0,0,0.046875,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.0625,0,0,0,0.0234375,0,0,0,0,0,0,0.125,0.0625,0,0,0,0.25,0,0,0.5,0
"egsu060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
