"net","n_su","n_ties","density","reciprocity","transitivity","avpathlength","outdeg_centralization","indeg_centralization","bet_centralization","mean_degree","range_outdegree","range_indegree","site"
"behav","60","732","0.207","0.191","0.4","1.939","0.166","0.149","0.036","12.2","4 - 22","4 - 21","EG"
"info","60","726","0.205","0.226","0.407","1.948","0.168","0.185","0.038","12.1","5 - 22","3 - 23","EG"
"male","60","709","0.2","0.22","0.384","1.967","0.173","0.19","0.033","11.817","5 - 22","2 - 23","EG"
"female","60","732","0.207","0.194","0.395","1.95","0.166","0.166","0.031","12.2","3 - 22","4 - 22","EG"
"exchange_plus_female","60","1254","0.354","0.362","0.6","1.737","0.375","0.256","0.028","20.9","11 - 43","10 - 36","EG"
"main_supp","60","1678","0.474","0.489","0.741","1.684","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"main_supp_layer","60","1678","0.474","0.489","0.741","1.651","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"sum","60","1678","0.474","0.489","0.741","0.462","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"collapse_sum","60","1678","0.474","0.489","0.741","0.46","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"main_supp_matt","60","1694","0.479","0.503","0.741","1.673","0.25","0.25","0.013","28.233","17 - 43","14 - 43","EG"
"main_supp_layer_matt","60","1694","0.479","0.503","0.741","1.64","0.25","0.25","0.013","28.233","17 - 43","14 - 43","EG"
"sum_pop_downweighted","60","1678","0.474","0.489","0.741","0.098","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"sum_column_stochastic","60","1678","0.474","0.489","0.741","0.035","0.323","0.238","0.014","27.967","16 - 47","13 - 42","EG"
"avrel","60","281","0.159","1","0.679","0.091","0.265","0.265","0.21","9.367","0 - 25","0 - 25","EG"
"maxrel","60","281","0.159","1","0.679","0.568","0.265","0.265","0.21","9.367","0 - 25","0 - 25","EG"
"distance","60","1770","1","1","1","1031.519","0","0","0","59","59 - 59","59 - 59","EG"
"transp_loan_req","60","364","0.103","0.11","0.202","2.459","0.118","0.084","0.046","6.067","1 - 13","2 - 11","EG"
"transp_loan_giv","60","370","0.105","0.13","0.209","2.472","0.116","0.116","0.056","6.167","0 - 13","1 - 13","EG"
"transp_exchange_req","60","354","0.1","0.102","0.219","2.543","0.103","0.171","0.093","5.9","1 - 12","1 - 16","EG"
"transp_exchange_giv","60","370","0.105","0.103","0.235","2.479","0.167","0.167","0.095","6.167","1 - 16","1 - 16","EG"
"transp_f_behav","60","398","0.112","0.101","0.233","2.386","0.091","0.142","0.073","6.633","1 - 12","2 - 15","EG"
"transp_m_behav","60","376","0.106","0.106","0.209","2.478","0.114","0.114","0.056","6.267","1 - 13","2 - 13","EG"
"transp_f_info","60","391","0.11","0.113","0.221","2.412","0.144","0.11","0.055","6.517","1 - 15","1 - 13","EG"
"transp_m_info","60","373","0.105","0.161","0.225","2.519","0.149","0.132","0.059","6.217","0 - 15","1 - 14","EG"
"transp_govt","60","376","0.106","0.106","0.213","2.456","0.097","0.114","0.052","6.267","1 - 12","2 - 13","EG"
"transp_external","60","404","0.114","0.144","0.233","0.638","0.14","0.174","0.065","6.733","1 - 15","1 - 17","EG"
"transp_non_primary_connectedkin_sum","60","1604","0.453","0.483","0.709","0.468","0.242","0.327","0.016","26.733","12 - 41","15 - 46","EG"
"transp_non_secondary_connectedkin_sum","60","1538","0.434","0.477","0.681","0.473","0.26","0.328","0.018","25.633","12 - 41","15 - 45","EG"
"transp_loan","60","690","0.195","0.217","0.37","1.966","0.212","0.144","0.044","11.5","4 - 24","3 - 20","EG"
"transp_exchange","60","681","0.192","0.226","0.373","1.996","0.231","0.299","0.069","11.35","4 - 25","4 - 29","EG"
"transp_behav","60","732","0.207","0.191","0.4","1.939","0.149","0.166","0.036","12.2","4 - 21","4 - 22","EG"
"transp_info","60","726","0.205","0.226","0.407","1.948","0.185","0.168","0.038","12.1","3 - 23","5 - 22","EG"
"transp_male","60","709","0.2","0.22","0.384","1.967","0.19","0.173","0.033","11.817","2 - 23","5 - 22","EG"
"transp_female","60","732","0.207","0.194","0.395","1.95","0.166","0.166","0.031","12.2","4 - 22","3 - 22","EG"
"transp_exchange_plus_female","60","1254","0.354","0.362","0.6","1.737","0.256","0.375","0.028","20.9","10 - 36","11 - 43","EG"
"transp_main_supp","60","1678","0.474","0.489","0.741","1.684","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"transp_main_supp_layer","60","1678","0.474","0.489","0.741","1.651","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"transp_sum","60","1678","0.474","0.489","0.741","0.462","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"transp_collapse_sum","60","1678","0.474","0.489","0.741","0.46","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"transp_main_supp_matt","60","1694","0.479","0.503","0.741","1.673","0.25","0.25","0.013","28.233","14 - 43","17 - 43","EG"
"transp_main_supp_layer_matt","60","1694","0.479","0.503","0.741","1.64","0.25","0.25","0.013","28.233","14 - 43","17 - 43","EG"
"transp_sum_pop_downweighted","60","1678","0.474","0.489","0.741","0.098","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"transp_sum_column_stochastic","60","1678","0.474","0.489","0.741","0.035","0.238","0.323","0.014","27.967","13 - 42","16 - 47","EG"
"loan_req","70","462","0.096","0.147","0.192","2.499","0.122","0.151","0.059","6.6","1 - 15","1 - 17","EX"
"loan_giv","70","428","0.089","0.121","0.172","2.599","0.114","0.114","0.072","6.114","1 - 14","1 - 14","EX"
"exchange_req","70","412","0.085","0.107","0.2","2.649","0.103","0.103","0.057","5.886","0 - 13","1 - 13","EX"
"exchange_giv","70","410","0.085","0.083","0.17","2.647","0.118","0.147","0.045","5.857","1 - 14","1 - 16","EX"
"f_behav","70","441","0.091","0.122","0.186","2.533","0.097","0.083","0.036","6.3","0 - 13","0 - 12","EX"
"m_behav","70","453","0.094","0.097","0.209","2.517","0.109","0.124","0.064","6.471","0 - 14","1 - 15","EX"
"f_info","70","436","0.09","0.087","0.171","2.549","0.113","0.098","0.052","6.229","1 - 14","1 - 13","EX"
"m_info","70","451","0.093","0.12","0.195","2.484","0.095","0.124","0.075","6.443","1 - 13","2 - 15","EX"
"govt","70","451","0.093","0.098","0.204","2.494","0.124","0.139","0.054","6.443","1 - 15","0 - 16","EX"
"external","70","439","0.091","0.114","0.202","0.688","0.083","0.17","0.075","6.271","2 - 12","1 - 18","EX"
"primary_kin","70","82","0.034","1","0.018","2.625","0.053","0.053","0.207","2.343","0 - 6","0 - 6","EX"
"secondary_kin","70","146","0.06","1","0.411","1.359","0.07","0.07","0.185","4.171","0 - 9","0 - 9","EX"
"primary_connectedkin_sum","70","64","0.013","0.438","0","0.801","0.045","0.03","0.007","0.914","0 - 4","0 - 3","EX"
"secondary_connectedkin_sum","70","115","0.024","0.417","0.246","1.709","0.049","0.078","0.099","1.643","0 - 5","0 - 7","EX"
"non_primary_connectedkin_sum","70","1985","0.411","0.486","0.647","0.464","0.227","0.198","0.011","28.357","11 - 44","14 - 42","EX"
"non_secondary_connectedkin_sum","70","1934","0.4","0.488","0.629","0.466","0.237","0.194","0.011","27.629","11 - 44","14 - 41","EX"
"loan","70","845","0.175","0.239","0.331","2.008","0.144","0.187","0.031","12.071","3 - 22","3 - 25","EX"
"exchange","70","783","0.162","0.171","0.33","2.07","0.215","0.142","0.033","11.186","2 - 26","5 - 21","EX"
"behav","70","847","0.175","0.201","0.346","2.008","0.158","0.129","0.027","12.1","4 - 23","2 - 21","EX"
"info","70","835","0.173","0.187","0.335","2.007","0.146","0.146","0.03","11.929","5 - 22","4 - 22","EX"
"male","70","853","0.177","0.204","0.346","1.999","0.128","0.128","0.032","12.186","3 - 21","5 - 21","EX"
"female","70","826","0.171","0.199","0.326","2.028","0.162","0.148","0.023","11.8","4 - 23","4 - 22","EX"
"exchange_plus_female","70","1452","0.301","0.328","0.53","1.777","0.236","0.221","0.018","20.743","9 - 37","12 - 36","EX"
"main_supp","70","2049","0.424","0.484","0.67","1.702","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"main_supp_layer","70","2049","0.424","0.484","0.67","1.67","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"sum","70","2049","0.424","0.484","0.67","0.46","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"collapse_sum","70","2049","0.424","0.484","0.67","0.46","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"main_supp_matt","70","2037","0.422","0.475","0.67","1.705","0.23","0.201","0.01","29.1","15 - 45","12 - 43","EX"
"main_supp_layer_matt","70","2037","0.422","0.475","0.67","1.674","0.23","0.201","0.01","29.1","15 - 45","12 - 43","EX"
"sum_pop_downweighted","70","2049","0.424","0.484","0.67","0.09","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"sum_column_stochastic","70","2049","0.424","0.484","0.67","0.035","0.228","0.228","0.012","29.271","11 - 45","14 - 45","EX"
"avrel","70","231","0.096","1","0.68","0.11","0.18","0.18","0.167","6.6","0 - 19","0 - 19","EX"
"maxrel","70","231","0.096","1","0.68","0.841","0.18","0.18","0.167","6.6","0 - 19","0 - 19","EX"
"distance","70","2415","1","1","1","1065.106","0","0","0","69","69 - 69","69 - 69","EX"
"transp_loan_req","70","462","0.096","0.147","0.192","2.499","0.151","0.122","0.059","6.6","1 - 17","1 - 15","EX"
"transp_loan_giv","70","428","0.089","0.121","0.172","2.599","0.114","0.114","0.072","6.114","1 - 14","1 - 14","EX"
"transp_exchange_req","70","412","0.085","0.107","0.2","2.649","0.103","0.103","0.057","5.886","1 - 13","0 - 13","EX"
"transp_exchange_giv","70","410","0.085","0.083","0.17","2.647","0.147","0.118","0.045","5.857","1 - 16","1 - 14","EX"
"transp_f_behav","70","441","0.091","0.122","0.186","2.533","0.083","0.097","0.036","6.3","0 - 12","0 - 13","EX"
"transp_m_behav","70","453","0.094","0.097","0.209","2.517","0.124","0.109","0.064","6.471","1 - 15","0 - 14","EX"
"transp_f_info","70","436","0.09","0.087","0.171","2.549","0.098","0.113","0.052","6.229","1 - 13","1 - 14","EX"
"transp_m_info","70","451","0.093","0.12","0.195","2.484","0.124","0.095","0.075","6.443","2 - 15","1 - 13","EX"
"transp_govt","70","451","0.093","0.098","0.204","2.494","0.139","0.124","0.054","6.443","0 - 16","1 - 15","EX"
"transp_external","70","439","0.091","0.114","0.202","0.688","0.17","0.083","0.075","6.271","1 - 18","2 - 12","EX"
"transp_non_primary_connectedkin_sum","70","1985","0.411","0.486","0.647","0.464","0.198","0.227","0.011","28.357","14 - 42","11 - 44","EX"
"transp_non_secondary_connectedkin_sum","70","1934","0.4","0.488","0.629","0.466","0.194","0.237","0.011","27.629","14 - 41","11 - 44","EX"
"transp_loan","70","845","0.175","0.239","0.331","2.008","0.187","0.144","0.031","12.071","3 - 25","3 - 22","EX"
"transp_exchange","70","783","0.162","0.171","0.33","2.07","0.142","0.215","0.033","11.186","5 - 21","2 - 26","EX"
"transp_behav","70","847","0.175","0.201","0.346","2.008","0.129","0.158","0.027","12.1","2 - 21","4 - 23","EX"
"transp_info","70","835","0.173","0.187","0.335","2.007","0.146","0.146","0.03","11.929","4 - 22","5 - 22","EX"
"transp_male","70","853","0.177","0.204","0.346","1.999","0.128","0.128","0.032","12.186","5 - 21","3 - 21","EX"
"transp_female","70","826","0.171","0.199","0.326","2.028","0.148","0.162","0.023","11.8","4 - 22","4 - 23","EX"
"transp_exchange_plus_female","70","1452","0.301","0.328","0.53","1.777","0.221","0.236","0.018","20.743","12 - 36","9 - 37","EX"
"transp_main_supp","70","2049","0.424","0.484","0.67","1.702","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"transp_main_supp_layer","70","2049","0.424","0.484","0.67","1.67","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"transp_sum","70","2049","0.424","0.484","0.67","0.46","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"transp_collapse_sum","70","2049","0.424","0.484","0.67","0.46","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"transp_main_supp_matt","70","2037","0.422","0.475","0.67","1.705","0.201","0.23","0.01","29.1","12 - 43","15 - 45","EX"
"transp_main_supp_layer_matt","70","2037","0.422","0.475","0.67","1.674","0.201","0.23","0.01","29.1","12 - 43","15 - 45","EX"
"transp_sum_pop_downweighted","70","2049","0.424","0.484","0.67","0.09","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"transp_sum_column_stochastic","70","2049","0.424","0.484","0.67","0.035","0.228","0.228","0.012","29.271","14 - 45","11 - 45","EX"
"loan_req","40","251","0.161","0.12","0.348","2.285","0.147","0.198","0.034","6.275","2 - 12","1 - 14","SI"
"loan_giv","40","237","0.152","0.152","0.364","2.407","0.207","0.207","0.085","5.925","0 - 14","1 - 14","SI"
"exchange_req","40","250","0.16","0.2","0.316","2.288","0.173","0.173","0.058","6.25","0 - 13","0 - 13","SI"
"exchange_giv","40","252","0.162","0.111","0.324","2.246","0.146","0.223","0.046","6.3","1 - 12","2 - 15","SI"
"f_behav","40","237","0.152","0.135","0.298","2.317","0.104","0.104","0.051","5.925","1 - 10","1 - 10","SI"
"m_behav","40","237","0.152","0.203","0.308","2.285","0.156","0.13","0.071","5.925","1 - 12","0 - 11","SI"
"f_info","40","252","0.162","0.206","0.332","2.26","0.146","0.223","0.047","6.3","0 - 12","1 - 15","SI"
"m_info","40","236","0.151","0.178","0.357","2.219","0.156","0.233","0.08","5.9","0 - 12","1 - 15","SI"
"govt","40","242","0.155","0.182","0.307","2.28","0.153","0.204","0.129","6.05","1 - 12","1 - 14","SI"
"external","40","270","0.173","0.185","0.354","0.601","0.16","0.135","0.037","6.75","2 - 13","1 - 12","SI"
"primary_kin","40","51","0.065","1","0.102","1.858","0.088","0.088","0.204","2.55","0 - 6","0 - 6","SI"
"secondary_kin","40","95","0.122","1","0.417","0.936","0.186","0.186","0.253","4.75","0 - 12","0 - 12","SI"
"primary_connectedkin_sum","40","61","0.039","0.689","0.09","2.097","0.038","0.063","0.183","1.525","0 - 3","0 - 4","SI"
"secondary_connectedkin_sum","40","113","0.072","0.673","0.341","1.585","0.133","0.107","0.216","2.825","0 - 8","0 - 7","SI"
"non_primary_connectedkin_sum","40","888","0.569","0.653","0.785","0.489","0.2","0.2","0.011","22.2","10 - 30","9 - 30","SI"
"non_secondary_connectedkin_sum","40","836","0.536","0.653","0.745","0.499","0.182","0.208","0.015","20.9","9 - 28","7 - 29","SI"
"loan","40","439","0.281","0.301","0.535","1.905","0.231","0.257","0.039","10.975","3 - 20","2 - 21","SI"
"exchange","40","464","0.297","0.289","0.539","1.837","0.267","0.164","0.028","11.6","5 - 22","4 - 18","SI"
"behav","40","429","0.275","0.312","0.501","1.879","0.187","0.161","0.024","10.725","4 - 18","4 - 17","SI"
"info","40","441","0.283","0.327","0.537","1.859","0.153","0.307","0.041","11.025","0 - 17","3 - 23","SI"
"male","40","426","0.273","0.329","0.531","1.923","0.163","0.188","0.056","10.65","1 - 17","2 - 18","SI"
"female","40","453","0.29","0.313","0.531","1.822","0.248","0.146","0.035","11.325","4 - 21","3 - 17","SI"
"exchange_plus_female","40","744","0.477","0.5","0.736","1.696","0.241","0.19","0.016","18.6","10 - 28","10 - 26","SI"
"main_supp","40","949","0.608","0.655","0.834","1.675","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"main_supp_layer","40","949","0.608","0.655","0.834","1.612","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"sum","40","949","0.608","0.655","0.834","0.479","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"collapse_sum","40","949","0.608","0.655","0.834","0.477","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"main_supp_matt","40","946","0.606","0.651","0.834","1.679","0.214","0.265","0.01","23.65","10 - 32","11 - 34","SI"
"main_supp_layer_matt","40","946","0.606","0.651","0.834","1.618","0.214","0.265","0.01","23.65","10 - 32","11 - 34","SI"
"sum_pop_downweighted","40","949","0.608","0.655","0.834","0.108","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"sum_column_stochastic","40","949","0.608","0.655","0.834","0.039","0.212","0.238","0.011","23.725","13 - 32","13 - 33","SI"
"avrel","40","155","0.199","1","0.629","0.059","0.314","0.314","0.252","7.75","0 - 20","0 - 20","SI"
"maxrel","40","155","0.199","1","0.629","0.358","0.314","0.314","0.252","7.75","0 - 20","0 - 20","SI"
"distance","40","780","1","1","1","1035.699","0","0","0","39","39 - 39","39 - 39","SI"
"transp_loan_req","40","251","0.161","0.12","0.348","2.285","0.198","0.147","0.034","6.275","1 - 14","2 - 12","SI"
"transp_loan_giv","40","237","0.152","0.152","0.364","2.407","0.207","0.207","0.085","5.925","1 - 14","0 - 14","SI"
"transp_exchange_req","40","250","0.16","0.2","0.316","2.288","0.173","0.173","0.058","6.25","0 - 13","0 - 13","SI"
"transp_exchange_giv","40","252","0.162","0.111","0.324","2.246","0.223","0.146","0.046","6.3","2 - 15","1 - 12","SI"
"transp_f_behav","40","237","0.152","0.135","0.298","2.317","0.104","0.104","0.051","5.925","1 - 10","1 - 10","SI"
"transp_m_behav","40","237","0.152","0.203","0.308","2.285","0.13","0.156","0.071","5.925","0 - 11","1 - 12","SI"
"transp_f_info","40","252","0.162","0.206","0.332","2.26","0.223","0.146","0.047","6.3","1 - 15","0 - 12","SI"
"transp_m_info","40","236","0.151","0.178","0.357","2.219","0.233","0.156","0.08","5.9","1 - 15","0 - 12","SI"
"transp_govt","40","242","0.155","0.182","0.307","2.28","0.204","0.153","0.129","6.05","1 - 14","1 - 12","SI"
"transp_external","40","270","0.173","0.185","0.354","0.601","0.135","0.16","0.037","6.75","1 - 12","2 - 13","SI"
"transp_non_primary_connectedkin_sum","40","888","0.569","0.653","0.785","0.489","0.2","0.2","0.011","22.2","9 - 30","10 - 30","SI"
"transp_non_secondary_connectedkin_sum","40","836","0.536","0.653","0.745","0.499","0.208","0.182","0.015","20.9","7 - 29","9 - 28","SI"
"transp_loan","40","439","0.281","0.301","0.535","1.905","0.257","0.231","0.039","10.975","2 - 21","3 - 20","SI"
"transp_exchange","40","464","0.297","0.289","0.539","1.837","0.164","0.267","0.028","11.6","4 - 18","5 - 22","SI"
"transp_behav","40","429","0.275","0.312","0.501","1.879","0.161","0.187","0.024","10.725","4 - 17","4 - 18","SI"
"transp_info","40","441","0.283","0.327","0.537","1.859","0.307","0.153","0.041","11.025","3 - 23","0 - 17","SI"
"transp_male","40","426","0.273","0.329","0.531","1.923","0.188","0.163","0.056","10.65","2 - 18","1 - 17","SI"
"transp_female","40","453","0.29","0.313","0.531","1.822","0.146","0.248","0.035","11.325","3 - 17","4 - 21","SI"
"transp_exchange_plus_female","40","744","0.477","0.5","0.736","1.696","0.19","0.241","0.016","18.6","10 - 26","10 - 28","SI"
"transp_main_supp","40","949","0.608","0.655","0.834","1.675","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"transp_main_supp_layer","40","949","0.608","0.655","0.834","1.612","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"transp_sum","40","949","0.608","0.655","0.834","0.479","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"transp_collapse_sum","40","949","0.608","0.655","0.834","0.477","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"transp_main_supp_matt","40","946","0.606","0.651","0.834","1.679","0.265","0.214","0.01","23.65","11 - 34","10 - 32","SI"
"transp_main_supp_layer_matt","40","946","0.606","0.651","0.834","1.618","0.265","0.214","0.01","23.65","11 - 34","10 - 32","SI"
"transp_sum_pop_downweighted","40","949","0.608","0.655","0.834","0.108","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"transp_sum_column_stochastic","40","949","0.608","0.655","0.834","0.039","0.238","0.212","0.011","23.725","13 - 33","13 - 32","SI"
"loan_req","100","624","0.063","0.103","0.142","2.728","0.078","0.099","0.049","6.24","0 - 14","1 - 16","SM"
"loan_giv","100","656","0.066","0.079","0.153","2.676","0.095","0.085","0.052","6.56","0 - 16","1 - 15","SM"
"exchange_req","100","630","0.064","0.067","0.143","2.712","0.098","0.138","0.045","6.3","0 - 16","1 - 20","SM"
"exchange_giv","100","601","0.061","0.09","0.13","2.794","0.081","0.091","0.052","6.01","0 - 14","0 - 15","SM"
"f_behav","100","656","0.066","0.095","0.164","2.626","0.105","0.116","0.053","6.56","0 - 17","0 - 18","SM"
"m_behav","100","618","0.062","0.061","0.136","2.724","0.079","0.089","0.041","6.18","0 - 14","0 - 15","SM"
"f_info","100","620","0.063","0.061","0.136","2.699","0.069","0.099","0.035","6.2","0 - 13","0 - 16","SM"
"m_info","100","621","0.063","0.055","0.137","2.747","0.109","0.139","0.084","6.21","0 - 17","1 - 20","SM"
"govt","100","611","0.062","0.052","0.152","2.753","0.08","0.09","0.06","6.11","0 - 14","1 - 15","SM"
"external","100","624","0.063","0.08","0.137","0.754","0.078","0.088","0.037","6.24","0 - 14","0 - 15","SM"
"primary_kin","100","114","0.023","1","0.039","2.812","0.048","0.048","0.183","2.28","0 - 7","0 - 7","SM"
"secondary_kin","100","199","0.04","1","0.39","1.483","0.071","0.071","0.133","3.98","0 - 11","0 - 11","SM"
"primary_connectedkin_sum","100","73","0.007","0.329","0","0.85","0.023","0.033","0.004","0.73","0 - 3","0 - 4","SM"
"secondary_connectedkin_sum","100","130","0.013","0.369","0.214","2.217","0.058","0.047","0.043","1.3","0 - 7","0 - 6","SM"
"non_primary_connectedkin_sum","100","3046","0.308","0.364","0.545","0.495","0.228","0.228","0.016","30.46","15 - 53","14 - 53","SM"
"non_secondary_connectedkin_sum","100","2989","0.302","0.363","0.533","0.498","0.203","0.223","0.014","29.89","14 - 50","13 - 52","SM"
"loan","100","1227","0.124","0.165","0.257","2.128","0.129","0.129","0.027","12.27","4 - 25","3 - 25","SM"
"exchange","100","1191","0.12","0.139","0.26","2.164","0.142","0.213","0.03","11.91","2 - 26","2 - 33","SM"
"behav","100","1231","0.124","0.141","0.265","2.133","0.169","0.158","0.033","12.31","1 - 29","3 - 28","SM"
"info","100","1199","0.121","0.122","0.255","2.155","0.142","0.142","0.026","11.99","2 - 26","4 - 26","SM"
"male","100","1198","0.121","0.139","0.256","2.156","0.142","0.142","0.03","11.98","1 - 26","4 - 26","SM"
"female","100","1231","0.124","0.164","0.261","2.124","0.138","0.148","0.037","12.31","3 - 26","3 - 27","SM"
"exchange_plus_female","100","2242","0.226","0.272","0.44","1.836","0.218","0.198","0.021","22.42","7 - 44","10 - 42","SM"
"main_supp","100","3119","0.315","0.364","0.558","1.753","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"main_supp_layer","100","3119","0.315","0.364","0.558","1.739","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"sum","100","3119","0.315","0.364","0.558","0.491","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"collapse_sum","100","3119","0.315","0.364","0.558","0.49","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"main_supp_matt","100","3136","0.317","0.372","0.558","1.751","0.249","0.259","0.015","31.36","14 - 56","11 - 57","SM"
"main_supp_layer_matt","100","3136","0.317","0.372","0.558","1.736","0.249","0.259","0.015","31.36","14 - 56","11 - 57","SM"
"sum_pop_downweighted","100","3119","0.315","0.364","0.558","0.101","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"sum_column_stochastic","100","3119","0.315","0.364","0.558","0.035","0.251","0.241","0.016","31.19","16 - 56","14 - 55","SM"
"avrel","100","276","0.056","1","0.544","0.13","0.106","0.106","0.094","5.52","0 - 16","0 - 16","SM"
"maxrel","100","276","0.056","1","0.544","0.846","0.106","0.106","0.094","5.52","0 - 16","0 - 16","SM"
"distance","100","4950","1","1","1","1078.765","0","0","0","99","99 - 99","99 - 99","SM"
"transp_loan_req","100","624","0.063","0.103","0.142","2.728","0.099","0.078","0.049","6.24","1 - 16","0 - 14","SM"
"transp_loan_giv","100","656","0.066","0.079","0.153","2.676","0.085","0.095","0.052","6.56","1 - 15","0 - 16","SM"
"transp_exchange_req","100","630","0.064","0.067","0.143","2.712","0.138","0.098","0.045","6.3","1 - 20","0 - 16","SM"
"transp_exchange_giv","100","601","0.061","0.09","0.13","2.794","0.091","0.081","0.052","6.01","0 - 15","0 - 14","SM"
"transp_f_behav","100","656","0.066","0.095","0.164","2.626","0.116","0.105","0.053","6.56","0 - 18","0 - 17","SM"
"transp_m_behav","100","618","0.062","0.061","0.136","2.724","0.089","0.079","0.041","6.18","0 - 15","0 - 14","SM"
"transp_f_info","100","620","0.063","0.061","0.136","2.699","0.099","0.069","0.035","6.2","0 - 16","0 - 13","SM"
"transp_m_info","100","621","0.063","0.055","0.137","2.747","0.139","0.109","0.084","6.21","1 - 20","0 - 17","SM"
"transp_govt","100","611","0.062","0.052","0.152","2.753","0.09","0.08","0.06","6.11","1 - 15","0 - 14","SM"
"transp_external","100","624","0.063","0.08","0.137","0.754","0.088","0.078","0.037","6.24","0 - 15","0 - 14","SM"
"transp_non_primary_connectedkin_sum","100","3046","0.308","0.364","0.545","0.495","0.228","0.228","0.016","30.46","14 - 53","15 - 53","SM"
"transp_non_secondary_connectedkin_sum","100","2989","0.302","0.363","0.533","0.498","0.223","0.203","0.014","29.89","13 - 52","14 - 50","SM"
