"","sisu001","sisu002","sisu003","sisu004","sisu005","sisu006","sisu007","sisu008","sisu009","sisu010","sisu011","sisu012","sisu013","sisu014","sisu015","sisu016","sisu017","sisu018","sisu019","sisu020","sisu021","sisu022","sisu023","sisu024","sisu025","sisu026","sisu027","sisu028","sisu029","sisu030","sisu031","sisu032","sisu033","sisu034","sisu035","sisu036","sisu037","sisu038","sisu039","sisu040"
"sisu011",988,1142,1097,662,1362,682,921,1311,1462,444,0,473,1026,720,797,417,1485,1406,527,1736,1364,1569,1067,1040,633,1128,277,551,985,611,1737,1254,540,1177,516,1581,862,885,1366,1643
"sisu012",976,1451,716,1105,1566,1061,1358,1117,1181,823,473,0,559,547,1262,257,1468,1444,532,1825,1330,1764,885,1098,612,1450,275,933,564,1081,1525,1299,878,1208,963,1890,1335,1022,1550,1514
"sisu013",1317,1960,645,1663,2009,1607,1915,1243,1172,1374,1026,559,0,868,1795,755,1740,1769,988,2168,1600,2193,1079,1475,1029,1965,781,1482,470,1621,1568,1644,1418,1551,1484,2388,1887,1462,1981,1663
"sisu014",456,1157,499,1085,1148,930,1289,601,745,764,720,547,868,0,1442,342,927,921,248,1315,787,1327,358,607,206,1172,727,841,503,1254,1026,786,743,693,1212,1561,1420,610,1117,975
"sisu015",1539,1161,1878,521,1536,755,613,1973,2176,737,797,1262,1795,1442,0,1198,1956,1822,1203,2033,1871,1718,1744,1504,1287,1122,1014,728,1779,190,2384,1686,824,1642,317,1490,246,1296,1572,2218
"sisu016",732,1212,682,942,1310,857,1183,942,1060,633,417,257,755,342,1198,0,1232,1197,274,1573,1097,1507,699,844,359,1214,385,737,586,1008,1364,1049,665,960,931,1647,1224,765,1293,1314
"sisu017",504,1027,1155,1451,703,1214,1511,579,835,1239,1485,1468,1740,927,1956,1232,0,177,984,478,141,744,664,460,882,1069,1600,1229,1287,1799,677,273,1137,319,1847,1199,1821,661,638,378
"sisu018",469,853,1220,1308,527,1071,1352,689,963,1120,1406,1444,1769,921,1822,1197,177,0,934,399,226,583,718,367,838,896,1548,1099,1333,1672,846,153,1013,237,1733,1026,1674,542,462,553
"sisu019",480,975,736,838,1040,693,1048,793,974,516,527,532,988,248,1203,274,984,934,0,1302,855,1235,552,575,106,983,616,597,708,1015,1217,783,502,697,988,1400,1173,492,1021,1116
"sisu020",859,923,1615,1512,522,1283,1489,1056,1311,1392,1736,1825,2168,1315,2033,1573,478,399,1302,0,597,421,1114,728,1214,969,1906,1344,1732,1907,1105,530,1277,622,1997,908,1851,851,471,800
"sisu021",377,1011,1022,1376,730,1142,1457,465,737,1144,1364,1330,1600,787,1871,1097,141,226,855,597,0,806,526,368,751,1051,1468,1144,1150,1708,644,232,1047,236,1746,1233,1749,577,668,377
"sisu022",900,561,1725,1208,207,1000,1135,1258,1539,1165,1569,1764,2193,1327,1718,1507,744,583,1235,421,806,0,1234,728,1172,604,1784,1091,1804,1616,1420,620,1051,696,1734,490,1513,743,214,1118
"sisu023",358,1225,503,1329,1094,1135,1495,245,443,1025,1067,885,1079,358,1744,699,664,718,552,1114,526,1234,0,529,459,1252,1083,1076,623,1560,671,621,971,539,1540,1568,1689,651,1046,629
"sisu024",175,720,1003,1009,569,778,1104,631,913,779,1040,1098,1475,607,1504,844,460,367,575,728,368,728,529,0,486,753,1184,777,1076,1343,953,214,681,142,1387,1039,1383,210,526,729
"sisu025",378,958,704,895,983,729,1090,695,891,579,633,612,1029,206,1287,359,882,838,106,1214,751,1172,459,486,0,971,718,646,703,1102,1117,690,545,601,1084,1370,1243,434,958,1010
"sisu026",902,46,1657,629,447,462,532,1384,1663,685,1128,1450,1965,1172,1122,1214,1069,896,983,969,1051,604,1252,753,971,0,1385,584,1674,1036,1687,819,592,832,1174,453,911,601,500,1426
"sisu027",1096,1395,984,939,1579,951,1198,1325,1424,709,277,275,781,727,1014,385,1600,1548,616,1906,1468,1784,1083,1184,718,1385,0,819,839,840,1745,1396,793,1311,705,1837,1114,1063,1574,1699
"sisu028",824,603,1332,253,889,132,453,1286,1519,112,551,933,1482,841,728,737,1229,1099,597,1344,1144,1091,1076,777,646,584,819,0,1291,574,1681,960,106,914,654,1035,620,569,909,1496
"sisu029",906,1660,187,1515,1637,1397,1744,773,717,1196,985,564,470,503,1779,586,1287,1333,708,1732,1150,1804,623,1076,703,1674,839,1291,0,1591,1107,1220,1203,1130,1499,2063,1810,1110,1600,1193
"sisu030",1366,1071,1688,409,1425,625,575,1791,1990,566,611,1081,1621,1254,190,1008,1799,1672,1015,1907,1708,1616,1560,1343,1102,1036,840,574,1591,0,2205,1532,663,1482,188,1438,300,1138,1455,2048
"sisu031",859,1649,924,1929,1370,1710,2052,426,398,1650,1737,1525,1568,1026,2384,1364,677,846,1217,1105,644,1420,671,953,1117,1687,1745,1681,1107,2205,0,875,1576,855,2201,1871,2301,1153,1306,307
"sisu032",330,778,1121,1178,513,942,1240,642,926,975,1254,1299,1644,786,1686,1049,273,153,783,530,232,620,621,214,690,819,1396,960,1220,1532,875,0,870,93,1587,1014,1548,396,454,607
"sisu033",720,603,1237,359,846,194,547,1180,1414,115,540,878,1418,743,824,665,1137,1013,502,1277,1047,1051,971,681,545,592,793,106,1203,663,1576,870,0,820,724,1044,725,476,859,1395
"sisu034",237,795,1035,1142,570,908,1222,583,869,920,1177,1208,1551,693,1642,960,319,237,697,622,236,696,539,142,601,832,1311,914,1130,1482,855,93,820,0,1529,1065,1514,345,516,609
"sisu035",1387,1205,1613,549,1536,734,748,1779,1956,614,516,963,1484,1212,317,931,1847,1733,988,1997,1746,1734,1540,1387,1084,1174,705,654,1499,188,2201,1587,724,1529,0,1593,486,1192,1560,2067
"sisu036",1211,442,2022,1045,503,910,877,1647,1933,1138,1581,1890,2388,1561,1490,1647,1199,1026,1400,908,1233,490,1568,1039,1370,453,1837,1035,2063,1438,1871,1014,1044,1065,1593,0,1256,954,565,1577
"sisu037",1443,952,1887,374,1341,607,384,1904,2130,665,862,1335,1887,1420,246,1224,1821,1674,1173,1851,1749,1513,1689,1383,1243,911,1114,620,1810,300,2301,1548,725,1514,486,1256,0,1172,1383,2109
"sisu038",310,576,1070,799,550,568,899,801,1072,579,885,1022,1462,610,1296,765,661,542,492,851,577,743,651,210,434,601,1063,569,1110,1138,1153,396,476,345,1192,954,1172,0,529,939
"sisu039",701,454,1529,1053,65,831,1018,1095,1380,974,1366,1550,1981,1117,1572,1293,638,462,1021,471,668,214,1046,526,958,500,1574,909,1600,1455,1306,454,859,516,1560,565,1383,529,0,1015
"sisu040",682,1385,1027,1736,1080,1506,1830,421,574,1483,1643,1514,1663,975,2218,1314,378,553,1116,800,377,1118,629,729,1010,1426,1699,1496,1193,2048,307,607,1395,609,2067,1577,2109,939,1015,0
