"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car"
1,"egsu016","rarely","often","never","sometimes","rarely","eg0077","eg0078",0,0,1,1,0,0,0,0,0,3,1,2,0,1,1,0,1,0,1,0
1,"egsu017","never","often","sometimes","rarely","often","eg0084","eg0085",1,0,0,0,1,3,1,2,1,1,1,0,1,1,0,0,0,2,2,1
1,"egsu018","often","sometimes","rarely","never","never","eg0089","eg0090",3,1,0,0,2,1,0,0,3,0,0,0,1,0,1,0,2,0,1,1
1,"egsu019","rarely","never","never","never","often","eg0096","eg0097",0,0,2,0,0,2,0,0,1,2,2,0,0,2,0,0,0,3,0,2
1,"egsu020","never","rarely","sometimes","rarely","never","eg0099","eg0100",0,0,0,1,1,0,1,2,2,0,0,1,0,0,1,1,0,2,1,1
1,"egsu021","never","never","often","rarely","rarely","eg0104","eg0105",2,0,3,0,1,2,0,3,0,1,0,2,0,0,2,2,0,1,2,2
1,"egsu022","often","sometimes","rarely","often","rarely","eg0110","eg0111",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0
1,"egsu023","often","often","rarely","sometimes","sometimes","eg0114","eg0115",0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0
1,"egsu024","sometimes","rarely","often","rarely","sometimes","eg0117","eg0118",1,3,3,0,1,1,2,2,2,0,0,0,0,2,1,2,1,0,1,3
1,"egsu025","sometimes","rarely","rarely","sometimes","rarely","eg0120","eg0121",0,1,2,0,2,0,1,1,0,0,0,0,3,2,2,0,0,1,0,1
1,"egsu026","sometimes","rarely","often","rarely","rarely","eg0123","eg0124",0,1,0,0,0,1,0,1,1,0,2,1,1,0,1,1,0,1,2,2
1,"egsu027","never","never","rarely","rarely","rarely","eg0128","eg0129",0,3,1,0,0,2,2,0,0,0,1,0,2,1,0,0,0,2,0,0
1,"egsu028","sometimes","often","often","sometimes","often","eg0132","eg0133",0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
1,"egsu029","often","never","often","sometimes","sometimes","eg0138","eg0139",2,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,"egsu030","often","never","never","sometimes","often","eg0145","eg0146",1,0,1,0,1,0,0,1,0,2,1,2,0,1,0,1,1,2,0,1
1,"egsu031","rarely","sometimes","never","never","rarely","eg0148","eg0149",2,2,2,2,0,0,1,0,1,0,2,0,2,1,1,0,0,0,0,1
1,"egsu032","rarely","sometimes","never","often","rarely","eg0153","eg0154",0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,2
1,"egsu033","rarely","often","often","never","often","eg0159","eg0160",0,0,0,1,0,1,1,0,0,1,2,0,1,1,1,0,0,1,1,1
1,"egsu034","rarely","rarely","sometimes","often","never","eg0164","eg0165",0,1,0,3,3,0,0,1,3,2,1,0,3,0,1,1,0,1,0,0
1,"egsu035","never","often","sometimes","never","often","eg0167","eg0168",1,0,0,0,0,2,3,0,0,0,1,3,0,2,3,0,0,2,0,2
1,"egsu036","sometimes","rarely","sometimes","never","never","eg0172","eg0173",0,1,0,1,1,0,0,1,0,1,0,3,1,1,0,0,0,2,2,1
1,"egsu037","rarely","often","often","sometimes","sometimes","eg0175","eg0176",1,0,1,3,2,0,2,1,1,3,0,0,0,2,0,2,2,0,1,0
1,"egsu038","often","rarely","sometimes","often","often","eg0178","eg0179",1,1,0,1,2,0,2,2,1,1,3,0,0,0,0,2,1,2,0,0
1,"egsu039","often","rarely","sometimes","sometimes","often","eg0185","eg0186",1,2,0,0,1,2,0,0,1,1,0,2,1,0,1,1,2,0,1,1
1,"egsu040","rarely","rarely","rarely","sometimes","rarely","eg0188","eg0189",0,1,0,3,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1
1,"egsu041","rarely","rarely","rarely","never","never","eg0194","eg0195",0,2,0,1,0,2,0,0,1,0,0,0,1,0,1,3,0,0,0,1
1,"egsu042","sometimes","sometimes","rarely","never","never","eg0197","eg0198",0,0,1,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0
1,"egsu043","often","often","often","rarely","sometimes","eg0203","eg0204",0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,1,0,1,0
1,"egsu044","often","often","rarely","often","sometimes","eg0207","eg0208",0,2,1,3,2,1,1,0,0,0,0,3,3,1,0,1,0,0,0,0
1,"egsu045","rarely","never","rarely","never","often","eg0211","eg0212",1,0,2,0,2,1,0,0,2,0,1,0,2,1,2,1,0,0,2,0
1,"egsu046","never","sometimes","never","never","never","eg0216","eg0217",0,2,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1
1,"egsu047","never","never","sometimes","never","never","eg0219","eg0220",0,1,0,1,0,1,1,0,0,1,0,1,2,1,1,0,2,0,1,1
1,"egsu048","sometimes","often","sometimes","rarely","often","eg0222","eg0223",1,0,1,2,0,1,1,1,0,2,2,2,1,1,2,0,2,2,0,3
1,"egsu049","sometimes","sometimes","sometimes","often","often","eg0226","eg0227",1,1,3,1,0,1,0,0,1,0,0,1,1,0,1,0,2,1,0,0
1,"egsu050","rarely","often","sometimes","never","rarely","eg0232","eg0233",0,0,1,0,1,0,2,2,2,1,1,0,1,0,2,0,1,0,0,3
1,"egsu051","rarely","rarely","often","never","sometimes","eg0237","eg0238",2,2,0,1,0,1,1,2,0,1,1,0,1,1,0,0,0,1,0,0
1,"egsu052","never","often","often","sometimes","rarely","eg0244","eg0245",0,0,0,1,3,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0
1,"egsu053","never","rarely","often","never","never","eg0251","eg0252",1,2,0,2,1,0,1,2,0,1,2,0,1,1,1,0,0,2,1,2
1,"egsu054","sometimes","sometimes","sometimes","often","never","eg0257","eg0258",0,2,0,0,0,0,1,0,1,2,1,0,1,2,1,0,0,0,0,1
1,"egsu055","rarely","often","sometimes","never","sometimes","eg0264","eg0265",0,2,1,1,1,2,0,2,1,0,0,1,0,1,1,1,0,0,1,0
1,"egsu056","rarely","never","often","never","often","eg0269","eg0270",2,0,3,0,2,0,1,0,1,2,2,3,0,2,1,0,0,3,0,2
1,"egsu057","often","never","rarely","never","sometimes","eg0274","eg0275",0,0,0,1,2,0,0,2,3,0,1,1,0,0,2,2,0,0,0,1
1,"egsu058","never","often","sometimes","often","sometimes","eg0277","eg0278",1,0,0,1,0,0,2,1,0,2,1,0,1,1,0,0,2,0,0,3
1,"egsu059","rarely","never","rarely","never","sometimes","eg0284","eg0285",0,1,0,2,1,0,0,2,0,1,1,1,2,2,0,0,2,0,1,0
1,"egsu060","rarely","rarely","never","never","sometimes","eg0289","eg0290",0,0,0,3,0,1,0,1,0,1,2,0,1,0,0,0,0,1,2,2
